bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
1274,Men Are from Mars  Women Are from Venus,John Gray,3.55,0060574216,9780060574215,eng,368,132062,3303,4/3/2012,Harper Paperbacks
45530,Montaillou: Cathars and Catholics in a French Village 1294-1324,Emmanuel Le Roy Ladurie/Barbara Bray,3.96,0140137009,9780140137002,eng,400,80,14,12/5/2002,Penguin
8680,Fierce Invalids Home from Hot Climates,Tom Robbins,4.03,055337933X,9780553379334,en-US,445,24792,1139,5/29/2001,Bantam
31804,Superheroes and Philosophy: Truth  Justice  and the Socratic Way,Tom Morris/William Irwin,3.87,0812695739,9780812695731,en-US,300,754,38,4/20/2005,Open Court
45181,Five Children and It (Five Children #1),E. Nesbit,3.88,0140367357,9780140367355,eng,237,18723,722,12/1/1996,Puffin
2102,Stephen Hawking's Universe,John Boslough,4.02,0380707632,9780380707638,eng,160,674,30,6/1/1989,Avon
38750,The Complete Essays of Mark Twain,Mark Twain/Charles Neider,4.33,0306809575,9780306809576,eng,732,195,15,11/2/2000,Da Capo Press
14680,The Charterhouse of Parma,Stendhal/Richard Howard/Robert Andrew Parker,3.82,0679783180,9780679783183,eng,532,10856,248,9/12/2000,Modern Library
10311,Argumentative Indian: Writings On Indian History Culture And Identity,Amartya Sen,3.8,0713996870,9780713996876,eng,391,29,7,6/28/2005,Allen Lane
17248,Death of a Dreamer (Hamish Macbeth  #22),M.C. Beaton,3.83,0892967897,9780892967896,eng,247,73,12,2/1/2006,Mysterious Press
30039,The Prize (deWarenne Dynasty  #4),Brenda Joyce,3.98,0778320898,9780778320890,eng,575,1604,66,9/24/2004,Mira Books
10204,View with a Grain of Sand: Selected Poems,Wisława Szymborska,4.33,0571191630,9780571191635,eng,214,33,7,10/23/1996,Faber  Faber
20517,Vicars of Christ: A History of the Popes,Charles A. Coulombe,3.94,0806523700,9780806523705,en-US,492,31,2,7/1/2003,Citadel
24613,Candide,Voltaire/Mona Mulhair,3.77,0743280547,9780743280549,fre,286,3,1,10/1/2005,Kaplan
33938,The Wheel of Life: A Memoir of Living and Dying,Elisabeth Kübler-Ross,4.16,0684846314,9780684846316,eng,288,1080,112,6/19/1998,Scribner
10073,A Long Way Down,Nick Hornby,3.42,1594481938,9781594481932,eng,368,65202,3943,5/2/2006,Riverhead Books
6424,Seven Up (Stephanie Plum  #7),Janet Evanovich,4.16,0312980140,9780312980146,en-US,337,103618,1820,6/17/2002,St. Martin's Press
34480,Le chat  son maître et ses deux maîtresses,Jun'ichiro Tanizaki,3.8,2070401677,9782070401673,fre,210,29,2,1/23/1997,Gallimard
